"<ID>";"classe du verbe";"<OPT>V";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: un";"N0 faire un N Prép N1 de (le+ce+son) N2";"N0 faire Det N Prép N1 de N2";"N0 faire un N";"Det =: des";"N0 faire des N";"Det =: du";"N0 faire du N";"Prép1 =: à";"Prép1 =: sur";"Prép1 =: dans";"Prép1 =: contre";"N1 =: Nhum";"N1 =: N-hum";"N0-hum faire Det N à N1";"GN =: le N de N0";"GN =: le N de N0 Prép N1";"GN =: le N de N1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"87";"32r";"détériorer";"détérioration";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"~";"~";"~";"~"
"88";"4";"dévaster";"dévastation";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"~";"L'orage a fait des dévastations dans le pays";"~";"~"
"89";"37m";"diaprer";"diaprure";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"90";"32c";"distordre";"distorsion";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"91";"37m";"dorer";"dorure";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"Max fait la dorure de ce bijou"
"92";"37m";"échancrer";"échancrure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"~";"La mer a fait de échancrure dans le côte";"~";"(La côte+La robe) a des échancrures"
"93";"37m";"éclabousser";"éclaboussure";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"(L'eau+Max) fait des éclaboussures sur le sol";"~";"~";"~"
"94";"37m";"écorcher";"écorchure";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"~";"~";"~";"~"
"95";"37m";"égratigner";"égratignure";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"~";"~";"~";"~"
"96";"37m";"emballer";"emballage";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"~";"~";"~";"~"
