"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: Ncoll";"Det =: un-de Dnum Nmes";"il y avoir Det N à N0";"il y avoir Det N Loc N0";"Vsup =: mettre";"Vsup =: faire";"Exemple Base1";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4"
"34";"anfractuosité";"+";"-";"-";"-";"+";"-";"+";"Cette paroi a des anfractuosités";"Il y a des anfractuosités dans cette paroi";"~";"~";"~"
"35";"angle";"+";"-";"-";"-";"+";"-";"-";"Cette pierre a deux angles gênants";"Il y a deux angles gênants à cette pierre";"~";"~";"~"
"36";"annexe";"+";"-";"-";"+";"-";"+";"-";"Ce (bâtiment+livre) a une annexe";"~";"~";"~";"~"
"37";"anomalie";"+";"-";"-";"-";"+";"-";"-";"(Cette pièce+Ce texte) a des anomalies";"Il y a des anomalies dans ce raisonnement";"~";"~";"~"
"38";"antécédent";"+";"-";"-";"+";"-";"-";"-";"Ce pronom a un antécédent";"Il y a des antécédents à la classification des noms";"~";"~";"~"
"39";"antidote";"+";"-";"-";"+";"-";"-";"-";"La mélancolie a un antidote";"~";"~";"~";"Ce film est un antidote à la mélancolie"
"40";"aoriste";"+";"-";"-";"-";"+";"-";"-";"Cette entreprise comporte un aoriste";"~";"~";"~";"~"
"41";"aplat";"+";"-";"-";"-";"+";"-";"+";"Ce tableau comporte (un aplat+des aplats)";"~";"~";"~";"~"
"42";"apostille";"+";"-";"-";"-";"+";"-";"+";"La lettre a une apostille";"~";"~";"~";"~"
"43";"appareil";"-";"+";"-";"-";"+";"-";"-";"Ce parti a un appareil";"~";"~";"~";"~"
"44";"appendice";"+";"-";"-";"+";"-";"-";"+";"Ce livre a un appendice";"~";"~";"~";"Ce texte est un appendice (à+de) le livre de Harris"
"45";"arborescence";"+";"-";"-";"-";"-";"-";"+";"Le dessin (a+comporte) des arborescences";"~";"~";"~";"~"
"46";"ascendance";"+";"-";"-";"-";"+";"-";"-";"~";"Il y a, ce matin, des ascendances d'air favorables";"~";"~";"~"
"47";"aspects";"+";"-";"-";"-";"+";"-";"-";"Cette question (a+comporte) plusieurs aspects";"~";"~";"~";"~"
"48";"aspérité";"+";"-";"-";"-";"+";"-";"-";"(Le sol+Cette surface) a  des aspérités";"Il y a des aspérités sur cette surface";"~";"~";"~"
"49";"attribut";"+";"-";"-";"+";"-";"-";"-";"Ce noru a un attribut";"~";"~";"~";"~"
"50";"augment";"+";"-";"-";"-";"+";"-";"-";"Cette fonction a un argument";"~";"~";"~";"~"
"51";"auréole";"+";"-";"-";"-";"+";"-";"+";"(La robe a des auréoles+Ce produit a (une auréole blanche autour de la fâche+des auréoles sur la robe))";"~";"~";"~";"~"
"52";"auxiliaire";"+";"-";"-";"+";"-";"-";"-";"Cette conjugaison a un auxiliaire";"~";"~";"~";"~"
"53";"aval";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~"
"54";"avance";"+";"-";"+";"-";"+";"-";"-";"~";"~";"~";"~";"~"
"55";"avant";"+";"-";"-";"+";"-";"-";"-";"La voiture a un avant";"~";"~";"~";"~"
"56";"avantage";"+";"-";"-";"+";"-";"-";"-";"Cette situation (a+comporte) un avantage";"Il y a un avantage dans cette situation";"~";"~";"~"
