"<ID>";"Det =: du";"Det =: des";"Det =: un-Modif";"Det =: un-de Dnum Nmes";"N0 être Adj de Dnum Nmes";"<OPT>Adj";"<ENT>N";"Exemple Base1";"Exemple Base2";"Exemple Base3";"Exemple Autre1"
"96";"-";"-";"+";"-";"-";"imperméable";"imperméabilité";"~";"~";"~";"~"
"97";"-";"-";"+";"-";"-";"important";"importance";"~";"~";"~";"~"
"98";"-";"-";"+";"-";"-";"impur";"impureté";"~";"~";"~";"~"
"99";"-";"-";"+";"-";"-";"imputrescible";"imputrescibilité";"~";"~";"~";"~"
"100";"-";"-";"+";"-";"-";"incandescent";"incandescence";"~";"~";"~";"~"
"101";"-";"-";"+";"-";"-";"incommensurable";"incommensurabilité";"~";"~";"~";"~"
"102";"-";"-";"+";"-";"-";"incomplet";"incomplétude";"~";"~";"~";"~"
"103";"-";"-";"+";"-";"-";"indélébile";"indélébilité";"~";"~";"~";"~"
"104";"-";"-";"+";"-";"-";"indisponible";"indisponibilité";"~";"~";"~";"~"
"105";"-";"-";"+";"-";"-";"inexpugnable";"inexpugnabilité";"~";"~";"~";"~"
"106";"-";"-";"+";"-";"-";"inextinguible";"inextinguibilité";"~";"~";"~";"~"
"107";"-";"-";"+";"-";"-";"inextricable";"inextricabilité";"~";"~";"~";"~"
"108";"-";"-";"+";"-";"-";"inhérent";"inhérence";"~";"~";"~";"~"
"109";"-";"-";"+";"-";"-";"insalubre";"insalubrité";"~";"~";"~";"~"
"110";"-";"-";"+";"-";"-";"insipide";"insipidité";"~";"~";"~";"~"
"111";"-";"-";"+";"-";"-";"insoluble";"insolubilité";"~";"~";"~";"~"
"112";"-";"-";"+";"-";"-";"instable";"instabilité";"~";"~";"~";"~"
"113";"-";"-";"+";"-";"-";"insubmersible";"insubmersibilité";"~";"~";"~";"~"
"114";"-";"-";"+";"-";"-";"intangible";"intangibilité";"~";"~";"~";"~"
"115";"-";"-";"+";"-";"-";"intemporel";"intemporalité";"~";"~";"~";"~"
"116";"-";"-";"+";"-";"-";"intérieur";"intériorité";"~";"~";"~";"~"
"117";"-";"+";"+";"-";"-";"intermittent";"intermittence";"~";"~";"~";"~"
"118";"+";"-";"+";"-";"-";"intime";"intimité";"~";"~";"~";"~"
