"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Vsup =: avoir";"Vsup =: avoir eu";"Det =: des";"Det =: un";"Det =: un-Modif";"Det =: du";"Det =: <E>";"Det =: le";"Det =: les";"le N de N0 =: son";"N0 Vsup Det N de Nc sur N1";"Det =: un-de Dnum Nmes";"<ENT>N";"N0 Vsup Det N";"N1 =: Nhum";"N1 =: N-hum";"N1 =: N0";"N1 =: la façon de V-inf W";"N1 =: le fait Qu P";"N1 =: ce(ci+la)";"N1 =: la dessus";"N0 V son N sur N1";"Prép1 =: dans";"Exemple Base1";"Exemple Autre1"
"118";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"retombée";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"119";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"retour";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~"
"120";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"revanche";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"121";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"révélation";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"122";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"seniorité";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"~";"~"
"123";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"séquelles";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"~";"~"
"124";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"sortie";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"~";"~"
"125";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"succès";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"~";"~"
"126";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"supériorité";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"~";"~"
"127";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"suprématie";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"~";"~"
"128";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"surtaxe";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"129";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"taxe";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"~";"~"
"130";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"témoignage";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
"131";"+";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"-";"théorie";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"~"
"132";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"toquade";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"~";"~"
