"<ID>";"N0 =: homme";"N0 =: femme";"<ENT>N";"Det pluriel obl";"Det =: un, faire = fabriquer";"A (Prép+E) B = B";"A (Prép+E) B = A";"N0 être Nagent";"élément dérivé";"suff-";"suff+";"verbe associé";"N0 jouer à Det N";"N0 jouer de Det N"
"133";"+";"+";"football canadien";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"134";"+";"+";"football au drapeau";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"135";"+";"+";"football de table";"-";"-";"-";"+";"+";"1";"ball";"micro-eux";"-";"+";"-"
"136";"+";"+";"football en salle";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"137";"+";"+";"football européen";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"138";"+";"+";"football gaélique";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"139";"+";"+";"footing";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"140";"+";"+";"galop";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"141";"+";"+";"golf";"-";"+";"-";"-";"+";"-";"-";"eur";"-";"+";"-"
"142";"+";"+";"golf miniature";"-";"+";"-";"+";"+";"1";"-";"eur";"+";"+";"-"
"143";"+";"+";"grammaire";"-";"+";"-";"-";"+";"-";"e";"ien";"-";"-";"-"
"144";"+";"+";"graphisme";"-";"+";"-";"-";"+";"-";"sme";"ste";"-";"-";"-"
"145";"+";"+";"gym-khana";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"146";"+";"+";"gymkhana";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"147";"+";"+";"hacky sack";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"148";"+";"+";"hand";"-";"-";"-";"-";"+";"-";"-";"balleur";"-";"+";"-"
"149";"+";"+";"hand-ball";"-";"-";"-";"+";"+";"2";"-";"eur";"-";"+";"-"
"150";"+";"+";"handball";"-";"-";"-";"-";"+";"-";"-";"eur";"-";"+";"-"
"151";"+";"+";"hard rock";"-";"-";"+";"-";"+";"2";"-";"eur";"-";"-";"-"
"152";"-";"+";"heptathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"153";"+";"-";"hexathlon";"-";"-";"-";"-";"+";"-";"-";"ien";"-";"-";"-"
"154";"+";"+";"hockey";"-";"-";"-";"-";"+";"-";"-";"eur";"-";"+";"-"
"155";"+";"+";"hockey en salle";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"-";"-"
"156";"+";"+";"hockey sous-marin";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"157";"+";"+";"hockey subaquatique";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"158";"+";"+";"hockey sur gazon";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"159";"+";"-";"hockey sur glace";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"160";"+";"+";"hockey sur herbe";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"161";"+";"+";"hockey sur roulettes";"-";"-";"-";"+";"+";"1";"-";"eur";"-";"+";"-"
"162";"+";"+";"horse-ball";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-"
"163";"+";"+";"jogging";"-";"-";"-";"-";"+";"-";"ing";"eur";"-";"-";"-"
"164";"+";"+";"joute";"-";"-";"-";"-";"+";"-";"-";"ur";"-";"-";"-"
"165";"+";"+";"korball";"-";"-";"-";"-";"+";"-";"-";"eur";"-";"+";"-"
"166";"+";"+";"lancer";"-";"-";"-";"-";"+";"-";"r";"ur";"+";"-";"-"
"167";"+";"+";"lancer de compétition";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"168";"+";"+";"lancer de disque";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
"169";"+";"+";"lancer de javelot";"-";"-";"-";"+";"+";"1";"r";"ur";"+";"-";"-"
